# a, rho_de(8piGrho), cdm_code(8piGrho_a4), cdm_analytic
2.033624084686672384e-01,1.090048728215515372e-07,7.934179818882190327e-09,7.934179818882190327e-09
2.057231701189556061e-01,1.089671360476193479e-07,8.026351317355943007e-09,8.026351317355944661e-09
2.081113370090394987e-01,1.089294123379114936e-07,8.119595916824325399e-09,8.119595916824323745e-09
2.105272272765706942e-01,1.088917016879051760e-07,8.213926220584222055e-09,8.213926220584222055e-09
2.129711627523478146e-01,1.088540040930791580e-07,8.309354985087553998e-09,8.309354985087553998e-09
2.154434690031883370e-01,1.088163195489139498e-07,8.405895122040249534e-09,8.405895122040251188e-09
2.179444753752985686e-01,1.087786480508913850e-07,8.503559700540658334e-09,8.503559700540658334e-09
2.204745150381474394e-01,1.087409895944950311e-07,8.602361949258558580e-09,8.602361949258558580e-09
2.230339250288496389e-01,1.087033441752099243e-07,8.702315258655961549e-09,8.702315258655961549e-09
2.256230462970633954e-01,1.086657117885227292e-07,8.803433183250946126e-09,8.803433183250946126e-09
2.282422237504097562e-01,1.086280924299216189e-07,8.905729443925864951e-09,8.905729443925864951e-09
2.308918063004192500e-01,1.085904860948964075e-07,9.009217930281290335e-09,9.009217930281290335e-09
2.335721469090121238e-01,1.085528927789383652e-07,9.113912703037092929e-09,9.113912703037092929e-09
2.362836026355176477e-01,1.085153124775403900e-07,9.219827996482140421e-09,9.219827996482140421e-09
2.390265346842391780e-01,1.084777451861969547e-07,9.326978220974143223e-09,9.326978220974143223e-09
2.418013084525720557e-01,1.084401909004040677e-07,9.435377965491275051e-09,9.435377965491275051e-09
2.446082935796798086e-01,1.084026496156591928e-07,9.545042000237229372e-09,9.545042000237229372e-09
2.474478639957351511e-01,1.083651213274615942e-07,9.655985279301400822e-09,9.655985279301399168e-09
2.503203979717325556e-01,1.083276060313118591e-07,9.768222943376052748e-09,9.768222943376052748e-09
2.532262781698794707e-01,1.082901037227122427e-07,9.881770322532355198e-09,9.881770322532353544e-09
2.561658916945727116e-01,1.082526143971665618e-07,9.996642939057228954e-09,9.996642939057228954e-09
2.591396301439658489e-01,1.082151380501801153e-07,1.011285651035305529e-08,1.011285651035305529e-08
2.621478896621355914e-01,1.081776746772598833e-07,1.023042695190236906e-08,1.023042695190237072e-08
2.651910709918537945e-01,1.081402242739143014e-07,1.034937038029979656e-08,1.034937038029979822e-08
2.682695795279724793e-01,1.081027868356533540e-07,1.046970311635353618e-08,1.046970311635353618e-08
2.713838253714278559e-01,1.080653623579886662e-07,1.059144168825877557e-08,1.059144168825877557e-08
